timestamp,open,high,low,close,volume
2025-06-14,148.59,148.73,141.96,144.66,477172.873779
2025-06-15,144.66,153.58,144.24,152.96,810598.792177
2025-06-16,152.98,158.75,150.29,150.74,1081610.349484
2025-06-17,150.75,154.32,145.62,147.58,1089210.431691
2025-06-18,147.6,149.29,143.65,146.36,821004.165157
2025-06-19,146.36,147.9,142.93,147.04,491453.959974
2025-06-20,147.05,148.8,135.65,140.11,1184816.040491
2025-06-21,140.12,142.59,130.8,135.39,928733.531476
2025-06-22,135.41,137.59,126.0,131.72,1705132.516921
2025-06-23,131.71,146.93,130.69,144.5,1594890.87203
2025-06-24,144.52,146.78,142.29,145.93,858976.722769
2025-06-25,145.94,147.99,142.27,143.56,810958.066598
2025-06-26,143.56,148.0,138.66,139.07,803741.024694
2025-06-27,139.07,144.88,137.17,142.11,623954.541889
2025-06-28,142.12,152.72,141.15,150.72,641312.305964
2025-06-29,150.73,154.76,149.37,153.31,618625.606051
2025-06-30,153.31,159.97,149.43,154.83,1606029.909587
2025-07-01,154.83,155.65,144.8,146.87,971162.756077
2025-07-02,146.86,154.49,145.79,152.3,908235.797709
2025-07-03,152.3,156.35,149.79,152.33,821048.165718
2025-07-04,152.33,153.9,145.19,147.69,896542.557293
2025-07-05,147.69,148.69,145.88,147.57,380324.327266
2025-07-06,147.57,153.9,146.75,151.86,578103.397975
2025-07-07,151.87,153.63,147.7,148.91,753978.045616
2025-07-08,148.91,152.89,147.86,151.67,678687.185293
2025-07-09,151.68,157.99,150.55,157.07,1216930.418953
2025-07-10,157.07,165.41,155.61,164.34,1543642.458503
2025-07-11,164.37,168.21,159.52,162.94,1627959.4892
2025-07-12,162.92,163.9,157.77,160.7,894503.181433
2025-07-13,160.7,164.16,159.64,161.15,1008905.437616
